DateTime(UTC),CRNP
2016-10-15 21:46:01,
2016-10-15 22:46:01,
2016-10-15 23:46:01,
2016-10-16 00:46:01,
2016-10-16 01:46:01,
2016-10-16 02:46:01,
2016-10-16 03:46:01,
2016-10-16 04:46:01,
2016-10-16 05:46:01,
2016-10-16 06:46:01,
2016-10-16 07:46:01,
2016-10-16 08:46:01,
2016-10-16 09:46:01,
2016-10-16 10:46:01,
2016-10-16 11:46:01,
2016-10-16 12:46:01,
2016-10-16 13:46:01,
2016-10-16 14:46:01,
2016-10-16 15:46:01,
2016-10-16 16:46:01,
2016-10-16 17:46:01,
2016-10-16 18:46:01,
2016-10-16 19:46:01,
2016-10-16 20:46:01,
2016-10-16 21:46:01,
2016-10-16 22:46:01,
2016-10-16 23:46:01,
2016-10-17 00:46:01,
2016-10-17 01:46:01,
2016-10-17 02:46:01,
2016-10-17 03:46:01,
2016-10-17 04:46:01,
2016-10-17 05:46:01,
2016-10-17 06:46:01,
2016-10-17 07:46:01,
2016-10-17 08:46:01,
2016-10-17 09:46:01,
2016-10-17 10:46:01,
2016-10-17 11:46:01,
2016-10-17 12:46:01,
2016-10-17 13:46:01,
2016-10-17 14:46:01,
2016-10-17 15:46:01,
2016-10-17 16:46:01,
2016-10-17 17:46:01,
2016-10-17 18:46:01,
2016-10-17 19:46:01,
2016-10-17 20:46:01,
2016-10-17 21:46:01,
2016-10-17 22:46:01,
2016-10-17 23:46:01,
2016-10-18 00:46:01,
2016-10-18 01:46:01,
2016-10-18 02:46:01,
2016-10-18 03:46:01,
2016-10-18 04:46:01,
2016-10-18 05:46:01,
2016-10-18 06:46:01,
2016-10-18 07:46:01,
2016-10-18 08:46:01,
2016-10-18 09:46:01,
2016-10-18 10:46:01,
2016-10-18 11:46:01,
2016-10-18 12:46:01,
2016-10-18 13:46:01,
2016-10-18 14:46:01,
2016-10-18 15:46:01,
2016-10-18 16:46:01,
2016-10-18 17:46:01,
2016-10-18 18:46:01,
2016-10-18 19:46:01,
2016-10-18 20:46:01,
2016-10-18 21:46:01,
2016-10-18 22:46:01,
2016-10-18 23:46:01,
2016-10-19 00:46:01,
2016-10-19 01:46:01,
2016-10-19 02:46:01,
2016-10-19 03:46:01,
2016-10-19 04:46:01,
2016-10-19 05:46:01,
2016-10-19 06:46:01,
2016-10-19 07:46:01,
2016-10-19 08:46:01,
2016-10-19 09:46:01,
2016-10-19 10:46:01,
2016-10-19 11:46:01,
2016-10-19 12:46:01,
2016-10-19 13:46:01,
2016-10-19 14:46:01,
2016-10-19 15:46:01,
2016-10-19 16:46:01,
2016-10-19 17:46:01,
2016-10-19 18:46:01,
2016-10-19 19:46:01,
2016-10-19 20:46:01,
2016-10-19 21:46:01,
2016-10-19 22:46:01,
2016-10-19 23:46:01,
2016-10-20 00:46:01,
2016-10-20 01:46:01,
2016-10-20 02:46:01,
2016-10-20 03:46:02,
2016-10-20 04:46:02,
2016-10-20 05:46:02,
2016-10-20 06:46:02,
2016-10-20 07:46:02,
2016-10-20 08:46:02,
2016-10-20 09:46:02,
2016-10-20 10:46:02,
2016-10-20 11:46:02,
2016-10-20 12:46:02,
2016-10-20 13:46:02,
2016-10-20 14:46:02,
2016-10-20 15:46:02,
2016-10-20 16:46:02,
2016-10-20 17:46:02,
2016-10-20 18:46:02,
2016-10-20 19:46:02,
2016-10-20 20:46:02,
2016-10-20 21:46:02,
2016-10-20 22:46:02,
2016-10-20 23:46:02,
2016-10-21 00:46:02,
2016-10-21 01:46:02,
2016-10-21 02:46:02,
2016-10-21 03:46:02,
2016-10-21 04:46:02,
2016-10-21 05:46:02,
2016-10-21 06:46:02,
2016-10-21 07:46:02,
2016-10-21 08:46:02,
2016-10-21 09:46:02,
2016-10-21 10:46:02,
2016-10-21 11:46:02,
2016-10-21 12:46:02,
2016-10-21 13:46:02,
2016-10-21 14:46:02,
2016-10-21 15:46:02,
2016-10-21 16:46:02,
2016-10-21 17:46:02,
2016-10-21 18:46:02,
2016-10-21 19:46:02,
2016-10-21 20:46:02,
2016-10-21 21:46:02,
2016-10-21 22:46:02,
2016-10-21 23:46:02,
2016-10-22 00:46:02,
2016-10-22 01:46:02,
2016-10-22 02:46:02,
2016-10-22 03:46:02,
2016-10-22 04:46:02,
2016-10-22 05:46:02,
2016-10-22 06:46:02,
2016-10-22 07:46:02,
2016-10-22 08:46:02,
2016-10-22 09:46:02,
2016-10-22 10:46:02,
2016-10-22 11:46:02,
2016-10-22 12:46:02,
2016-10-22 13:46:02,
2016-10-22 14:46:02,
2016-10-22 15:46:02,
2016-10-22 16:46:02,
2016-10-22 17:46:02,
2016-10-22 18:46:02,
2016-10-22 19:46:02,
2016-10-22 20:46:02,
2016-10-22 21:46:02,
2016-10-22 22:46:02,
2016-10-22 23:46:02,
2016-10-23 00:46:02,
2016-10-23 01:46:02,
2016-10-23 02:46:02,
2016-10-23 03:46:02,
2016-10-23 04:46:02,
2016-10-23 05:46:02,
2016-10-23 06:46:02,
2016-10-23 07:46:02,
2016-10-23 08:46:02,
2016-10-23 09:46:02,
2016-10-23 10:46:02,
2016-10-23 11:46:02,
2016-10-23 12:46:02,
2016-10-23 13:46:02,
2016-10-23 14:46:02,
2016-10-23 15:46:02,
2016-10-23 16:46:02,
2016-10-23 17:46:02,
2016-10-23 18:46:02,
2016-10-23 19:46:02,
2016-10-23 20:46:02,
2016-10-23 21:46:02,
2016-10-23 22:46:02,
2016-10-23 23:46:02,
2016-10-24 00:46:02,
2016-10-24 01:46:02,
2016-10-24 02:46:02,
2016-10-24 03:46:02,
2016-10-24 04:46:02,
2016-10-24 05:46:02,
2016-10-24 06:46:02,
2016-10-24 07:46:02,
2016-10-24 08:46:02,
2016-10-24 09:46:02,
2016-10-24 10:46:02,
2016-10-24 11:46:02,
2016-10-24 12:46:02,
2016-10-24 13:46:02,
2016-10-24 14:46:02,
2016-10-24 15:46:02,
2016-10-24 16:46:02,
2016-10-24 17:46:02,
2016-10-24 18:46:02,
2016-10-24 19:46:02,
2016-10-24 20:46:02,
2016-10-24 21:46:02,
2016-10-24 22:46:02,
2016-10-24 23:46:02,
2016-10-25 00:46:02,
2016-10-25 01:46:02,
2016-10-25 02:46:02,
2016-10-25 03:46:02,
2016-10-25 04:46:02,
2016-10-25 05:46:02,
2016-10-25 06:46:02,
