Timestamp,SM
2016-11-11,15.641337397252988
2016-11-12,14.833930942790863
2016-11-13,15.032665835693107
2016-11-14,14.98433046857066
2016-11-15,15.180046801338456
2016-11-16,15.056071870196007
2016-11-17,14.921743855905254
2016-11-18,14.138539608537792
2016-11-19,13.663895389272781
2016-11-20,13.37507558889974
2016-11-21,13.416052558947696
2016-11-22,13.17889286652674
2016-11-23,13.119322707405638
2016-11-24,13.217234084153331
2016-11-25,13.022980903706625
2016-11-26,12.84193567930558
2016-11-27,12.664781336079033
2016-11-28,12.7512443898148
2016-11-29,13.8412252571473
2016-11-30,16.50988200246502
2016-12-01,20.105718549948815
2016-12-02,21.032779076236164
2016-12-03,20.066874664883404
2016-12-04,19.413144165732156
2016-12-05,19.556001154048136
2016-12-06,18.406584645592993
2016-12-07,18.62821438506943
2016-12-08,18.3072012310755
2016-12-09,17.51982229741085
2016-12-10,18.082400322600066
2016-12-11,18.120496901151665
2016-12-12,18.79897064990549
2016-12-13,24.41942713093776
2016-12-14,34.47896032763581
2016-12-15,32.98307021171687
2016-12-16,34.55062734504983
2016-12-17,34.52851539190306
2016-12-18,33.93816422822821
2016-12-19,34.68298736529531
2016-12-20,34.836128995142175
2016-12-21,39.44725534678041
2016-12-22,37.970483013537766
2016-12-23,37.70826069896804
2016-12-24,40.57483546388465
2016-12-25,41.65546071075658
2016-12-26,41.92839833896854
2016-12-27,44.69740569318964
2016-12-28,45.935831798681214
2016-12-29,54.78495310457087
2016-12-30,67.19057987114545
2016-12-31,
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,79.45980642919626
2017-01-05,84.48005318812763
2017-01-06,82.12566450551252
2017-01-07,76.8629056128449
2017-01-08,80.03276963455767
2017-01-09,75.02623980564749
2017-01-10,73.92203150289994
2017-01-11,69.22172653223608
2017-01-12,67.96123078621376
2017-01-13,74.82830545985286
2017-01-14,75.63974337499226
2017-01-15,76.76865983489041
2017-01-16,78.24404833296761
2017-01-17,77.91441322054621
2017-01-18,74.44441002616256
2017-01-19,71.75500597496719
2017-01-20,73.95673356457527
2017-01-21,69.42464100523362
2017-01-22,65.94806696792895
2017-01-23,66.17238411294574
2017-01-24,66.72528110217384
2017-01-25,70.05937546774284
2017-01-26,74.17491894378891
2017-01-27,69.65735834860676
2017-01-28,67.14962709385996
2017-01-29,67.27443201923995
2017-01-30,67.14330064904998
2017-01-31,67.18306495218224
2017-02-01,63.519212790913095
2017-02-02,60.843881844545386
2017-02-03,63.92566207693795
2017-02-04,66.27067058043865
2017-02-05,69.10765632276228
2017-02-06,71.79875594813932
2017-02-07,67.55641003793477
2017-02-08,61.9645977940826
2017-02-09,55.65999561954866
2017-02-10,52.61968361137178
2017-02-11,50.7619115587373
2017-02-12,47.04042347191578
2017-02-13,43.84711061869759
2017-02-14,42.7558377595149
2017-02-15,41.83522719284756
2017-02-16,41.586054631571436
2017-02-17,41.80636488461952
2017-02-18,40.58800369304321
2017-02-19,40.65669975074895
2017-02-20,39.360086955343384
2017-02-21,39.316940121390616
2017-02-22,38.33787763018755
2017-02-23,34.236283705422984
2017-02-24,33.90415907426733
2017-02-25,33.23945734929327
2017-02-26,30.980410078922542
2017-02-27,28.388072707229522
2017-02-28,26.295719680129206
2017-03-01,26.139804430751397
2017-03-02,26.378284668409663
2017-03-03,31.62087959293859
2017-03-04,30.70031342347586
2017-03-05,29.180538635473926
2017-03-06,26.374959812180165
2017-03-07,26.512435846433917
2017-03-08,25.02757485547013
2017-03-09,25.274762409354167
2017-03-10,27.44555427267184
2017-03-11,29.895709574948313
2017-03-12,32.372260141971246
2017-03-13,31.136753929694688
2017-03-14,30.682268711732103
2017-03-15,29.916507476602522
2017-03-16,28.612798481233117
2017-03-17,28.23407434156614
2017-03-18,28.26803519782106
2017-03-19,26.182457999605266
2017-03-20,27.853661531848662
2017-03-21,27.79299784294173
2017-03-22,27.21562715432954
2017-03-23,25.54169322629205
2017-03-24,25.145867497500458
2017-03-25,24.73062218136381
2017-03-26,24.024715500362017
2017-03-27,23.898911892720932
2017-03-28,26.316255466254486
2017-03-29,24.758938295931078
2017-03-30,24.399771877787007
2017-03-31,27.40694528354194
2017-04-01,29.657743487175036
2017-04-02,30.22538213340404
2017-04-03,25.89481368842331
2017-04-04,23.637953701154846
2017-04-05,24.054333541766265
2017-04-06,24.079720098624083
2017-04-07,24.96672652681283
2017-04-08,26.137984616252748
2017-04-09,29.597742817184184
2017-04-10,26.868495574483315
2017-04-11,25.171495847127613
2017-04-12,26.041215534608252
2017-04-13,30.57859850567756
2017-04-14,32.18151739610931
2017-04-15,31.924961232441955
2017-04-16,28.814296049248924
2017-04-17,26.534319787928595
2017-04-18,24.576719487662043
2017-04-19,25.581619962245615
2017-04-20,24.553200824102955
2017-04-21,23.78474479603355
2017-04-22,23.055614729533847
2017-04-23,21.75220490203603
2017-04-24,20.975236638201604
2017-04-25,20.581995189687373
2017-04-26,20.207391750221966
2017-04-27,20.002342762888585
2017-04-28,20.153449475242095
2017-04-29,19.366720984276125
2017-04-30,18.77498964052442
2017-05-01,19.761713710064836
2017-05-02,22.194151884890164
2017-05-03,22.795251043869232
2017-05-04,22.2617161322148
2017-05-05,22.308866208936664
2017-05-06,21.541773724471824
2017-05-07,21.594328416468674
2017-05-08,21.420017871538068
2017-05-09,22.742172133604864
2017-05-10,20.654550635374225
2017-05-11,19.95463865252806
2017-05-12,18.614888700211566
2017-05-13,18.24559169851206
2017-05-14,17.881165693569766
2017-05-15,17.776943552874297
2017-05-16,17.54767949028782
